title;url;emails;;;;;;;;;;
SRIIP/CW5: Reconstruction of Ganir Bridge in Yap State;https://devbusiness.un.org/notices/adb-p2106567;pmu@tci.gov.fm;;;;;;;;;;
SRIIP/CW4: Reconstruction of Roads in Yap State;https://devbusiness.un.org/notices/adb-p2106566;pmu@tci.gov.fm;;;;;;;;;;
SRIIP/CW3: Reconstruction of Roads in Chuuk State;https://devbusiness.un.org/notices/adb-p2106565;pmu@tci.gov.fm;;;;;;;;;;
SRIIP/CW2: Reconstruction of Roads in Pohnpei State;https://devbusiness.un.org/notices/adb-p2106563;pmu@tci.gov.fm;;;;;;;;;;
SRIIP/CW1: Reconstruction of Roads in Kosrae State;https://devbusiness.un.org/notices/adb-p2106562;pmu@tci.gov.fm;;;;;;;;;;
RB-CW04-Lot 3: Thakhek Riverbank Protection for Mekong River (Zone B);https://devbusiness.un.org/notices/adb-p2106560;pcu.ngeun2565@gmail.com. Xaisomvang@gmail.com pcu.ngeun2565@gmail.com;;;;;;;;;;
WBGeProcure: Deepening data- driven urban management and land use planning: MSDI Assessment and Roadmap for Itaha;https://devbusiness.un.org/notices/wb-p2106559;No emails found;;;;;;;;;;
WBGeProcure: Study on Different Battery Technologies for Potential Deployment in Energy and Transport application;https://devbusiness.un.org/notices/wb-p2106558;corporateprocurement@worldbank.org;;;;;;;;;;
WBGeProcure: Evaluation of Financial Institution's advisory services;https://devbusiness.un.org/notices/wb-p2106556;corporateprocurement@worldbank.org;;;;;;;;;;
WBGeProcure: Developing Green Building Materials Data Base in Egypt;https://devbusiness.un.org/notices/wb-p2106555;No emails found;;;;;;;;;;
CANCELLATION- Servicio de hotel para talleres de capacitación sobre uso de datos y mesas de diálogo del Observatorio de Contrataciones Públicas.;https://devbusiness.un.org/notices/wb-p2105056;proyectosbm@dgcp.gob.pa da-consultor@dgcp.gob.pa da-consultor@dgcp.gob.pa;;;;;;;;;;
Selection of International expert to support the Economic Inclusion Program (EIP) in Tajikistan;https://devbusiness.un.org/notices/wb-p2106551;bsiyovush@gmail.com bsiyovush@gmail.com jahonbek@gmail.com;;;;;;;;;;
Estudo de Viabilidade de Fornecimento de Materiais de Referencia pelo INNOQ; IP;https://devbusiness.un.org/notices/wb-p2106549;Ppaulino67@gmail.com procurement.pled@gmail.com. procurement.pled@gmail.com;;;;;;;;;
Morocco: PP6 Works (Agadir);https://devbusiness.un.org/notices/ebrd-p2106548;No emails found;;;;;;;;;;
Recruitment of Occupational and Safety Expert;https://devbusiness.un.org/notices/wb-p2106547;ihale.dky@csb.gov.tr ihale.dky@csb.gov.tr;;;;;;;;;;
Recrutement d'un Expert en Politique et Règlement du Secteur de l’Engrais (Expert-PRSE);https://devbusiness.un.org/notices/wb-p2106546;procurement@araa.org procurement@araa.org;;;;;;;;;;
